Station,Date,Time,Alk-Tot,Chl-a,Cl-Tot,DRP,EC,H-T,NH4N,NO2N,NO3N,O2-Dis,SiO2-Dis,TDS,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,Cl-Dis,NH3N,SiO2-Rea,TDP,TN,TP,TRANS,TSS,O2-Dis-Sat,TIP,BOD,TOTCOLI,A340,As-Tot,COL-True,Cd-Tot,Cr-Tot,DOC,ENTCOCC,FECALCOLI,Hg-Tot,Ni-Tot,Pb-Tot,TEMP-Air,TKN,TOC,TON,TRP,Ca-Dis,Fe-Dis,Mg-Dis,Na-Dis,Pb-Dis,SO4-Dis,Zn-Dis,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
IND00436,2019-02-21,,,,,,444.0,,,,,9.2,,,,,7.8,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,9400.0,,,,,,,,,,,,,,,,,,,,,,,,0.2011999934911728,0.17794999480247498,0.08094999939203262,0.08590000122785568,0.1137000024318695,0.1428000032901764,0.1465499997138977,0.15889999270439148,0.1488499939441681,0.1704999953508377
IND00436,2019-03-26,,,,,,444.0,,,,,9.2,,,,,7.6,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,17000.0,,,,,,,,,,,,,,,,,,,,,,,,0.23029999434947968,0.21289999783039093,0.11599999666213989,0.14480000734329224,0.155799999833107,0.16429999470710754,0.18780000507831573,0.19359999895095825,0.20239999890327454,0.19480000436306
IND00436,2019-04-26,,,,,,442.0,,,,,9.0,,,,,7.6,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.6,11000.0,,,,,,,,,,,,,,,,,,,,,,,,0.24609999358654022,0.2175000011920929,0.12219999730587006,0.14259999990463257,0.149399995803833,0.18379999697208405,0.2053000032901764,0.21639999747276306,0.22699999809265137,0.22990000247955322
IND00436,2019-05-17,,,,,,446.0,,,,,8.8,,,,,7.5,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.4,17000.0,,,,,,,,,,,,,,,,,,,,,,,,0.26019999384880066,0.2363000065088272,0.12309999763965607,0.1444000005722046,0.1559000015258789,0.18459999561309814,0.21574999392032623,0.22994999587535858,0.23199999332427979,0.24165000021457672
IND00436,2019-06-22,,,,,,448.0,,,,,8.8,,,,,7.8,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.6,21000.0,,,,,,,,,,,,,,,,,,,,,,,,0.26774999499320984,0.24275000393390656,0.13750000298023224,0.1527000069618225,0.15539999306201935,0.187950000166893,0.23115000128746033,0.24490000307559967,0.24279999732971191,0.25745001435279846
IND00436,2019-10-09,,,,,,472.0,,,,,8.8,,,,,7.9,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.2,28000.0,,,,,,,,,,,,,,,,,,,,,,,,0.19189999997615814,0.15440000593662262,0.09929999709129333,0.11060000211000443,0.10300000011920929,0.1264999955892563,0.18150000274181366,0.19850000739097595,0.22100000083446503,0.210099995136261
IND00436,2019-11-14,,,,,,468.0,,,,,8.9,,,,,8.0,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.2,29000.0,,,,,,,,,,,,,,,,,,,,,,,,0.16380000114440918,0.13300000131130219,0.10700000077486038,0.11540000140666962,0.10819999873638153,0.12359999865293503,0.155799999833107,0.17219999432563782,0.18140000104904175,0.17149999737739563
IND00436,2019-12-06,,,,,,438.0,,,,,9.6,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,4.2,28000.0,,,,,,,,,,,,,,,,,,,,,,,,0.1444000005722046,0.12269999831914902,0.10029999911785126,0.11020000278949738,0.10320000350475311,0.11240000277757645,0.1420000046491623,0.1534000039100647,0.17419999837875366,0.15680000185966492
IND00436,2020-02-15,,,,,,456.0,,,,,9.1,,,,,8.2,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.0,32000.0,,,,,,,,,,,,,,,,,,,,,,,,0.15970000624656677,0.13944999873638153,0.08309999853372574,0.09309999644756317,0.10365000367164612,0.11949999630451202,0.13189999759197235,0.1367499977350235,0.1407500058412552,0.14435000717639923
IND00436,2020-04-08,,,,,,458.0,,,,,9.4,,,,,8.3,RAMGARH LAKE U.P.,26.7492,83.3973,India,,,,,,,,,,,5.2,42000.0,,,,,,,,,,,,,,,,,,,,,,,,0.21870000660419464,0.18960000574588776,0.09404999762773514,0.11869999766349792,0.12860000133514404,0.15035000443458557,0.19050000607967377,0.20125000178813934,0.2090499997138977,0.21060000360012054
