Station,Date,Alk-Tot,EC,TEMP,TURB,pH,Station Identifier,Latitude,Longitude,Region,COL-True,Cluster,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
URY00076,2020-05-08,52.0,169.0,14.0,7.4,7.7,Toma de agua,-34.8297,-55.0421,South America,36.0,678,0.004600000102072954,0.004050000105053186,0.021050000563263893,0.047200001776218414,0.024299999698996544,0.03505000099539757,0.011549999937415123,0.010350000113248825,0.009850000031292439,0.007199999876320362
URY00076,2020-05-11,52.0,155.0,17.3,5.1,7.6,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.003599999938160181,0.003599999938160181,0.02500000037252903,0.04600000008940697,0.024900000542402267,0.036400001496076584,0.011300000362098217,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-12,52.0,149.0,14.5,6.3,7.8,Toma de agua,-34.8297,-55.0421,South America,45.0,678,0.003599999938160181,0.003599999938160181,0.02500000037252903,0.04600000008940697,0.024900000542402267,0.036400001496076584,0.011300000362098217,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-13,52.0,158.0,13.5,5.8,7.8,Toma de agua,-34.8297,-55.0421,South America,41.0,678,0.003599999938160181,0.003599999938160181,0.02500000037252903,0.04600000008940697,0.024900000542402267,0.036400001496076584,0.011300000362098217,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-14,51.0,164.0,14.0,8.8,8.1,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.003599999938160181,0.003599999938160181,0.02500000037252903,0.04600000008940697,0.024900000542402267,0.036400001496076584,0.011300000362098217,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-15,52.0,157.0,13.5,8.2,8.1,Toma de agua,-34.8297,-55.0421,South America,42.0,678,0.003599999938160181,0.003599999938160181,0.02500000037252903,0.04600000008940697,0.024900000542402267,0.036400001496076584,0.011300000362098217,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-18,55.0,172.0,14.0,8.6,8.5,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.005350000225007534,0.0033499998971819878,0.019999999552965164,0.04560000076889992,0.02449999935925007,0.03545000031590462,0.010900000110268593,0.011900000274181366,0.0101500004529953,0.007249999791383743
URY00076,2020-05-19,54.0,154.0,15.0,10.1,8.5,Toma de agua,-34.8297,-55.0421,South America,41.0,678,0.005350000225007534,0.0033499998971819878,0.019999999552965164,0.04560000076889992,0.02449999935925007,0.03545000031590462,0.010900000110268593,0.011900000274181366,0.0101500004529953,0.007249999791383743
URY00076,2020-05-20,52.0,154.0,15.0,5.7,8.0,Toma de agua,-34.8297,-55.0421,South America,27.0,678,0.003599999938160181,0.002199999988079071,0.02500000037252903,0.04520000144839287,0.025299999862909317,0.03720000013709068,0.009999999776482582,0.011800000444054604,0.008700000122189522,0.006000000052154064
URY00076,2020-05-21,51.0,175.0,17.0,7.7,7.8,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.0026000000070780516,0.001500000013038516,0.02419999986886978,0.04334999993443489,0.026900000870227814,0.03669999912381172,0.010599999688565731,0.011500000022351742,0.009700000286102295,0.004999999888241291
URY00076,2020-05-22,52.0,164.0,17.0,8.2,7.7,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.0026000000070780516,0.001500000013038516,0.02419999986886978,0.04334999993443489,0.026900000870227814,0.03669999912381172,0.010599999688565731,0.011500000022351742,0.009700000286102295,0.004999999888241291
URY00076,2020-05-25,51.0,152.0,13.5,29.0,7.5,Toma de agua,-34.8297,-55.0421,South America,45.0,678,0.002749999985098839,0.0024500000290572643,0.021250000223517418,0.042750000953674316,0.025699999183416367,0.031300000846385956,0.00930000003427267,0.009050000458955765,0.008249999955296516,0.0035500000230968
URY00076,2020-05-26,53.0,156.0,13.0,14.7,7.8,Toma de agua,-34.8297,-55.0421,South America,34.0,678,0.002749999985098839,0.0024500000290572643,0.021250000223517418,0.042750000953674316,0.025699999183416367,0.031300000846385956,0.00930000003427267,0.009050000458955765,0.008249999955296516,0.0035500000230968
URY00076,2020-05-27,54.0,156.0,12.5,13.3,7.8,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.002749999985098839,0.0024500000290572643,0.021250000223517418,0.042750000953674316,0.025699999183416367,0.031300000846385956,0.00930000003427267,0.009050000458955765,0.008249999955296516,0.0035500000230968
URY00076,2020-05-28,51.0,154.0,13.0,5.0,7.7,Toma de agua,-34.8297,-55.0421,South America,32.0,678,0.002749999985098839,0.0024500000290572643,0.021250000223517418,0.042750000953674316,0.025699999183416367,0.031300000846385956,0.00930000003427267,0.009050000458955765,0.008249999955296516,0.0035500000230968
URY00076,2020-05-29,51.0,161.0,13.0,2.7,7.4,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.002899999963119626,0.003000000026077032,0.019099999219179153,0.04149999842047691,0.02290000021457672,0.026399999856948853,0.007400000002235174,0.006899999920278788,0.005799999926239252,0.004000000189989805
URY00076,2020-06-01,50.0,160.0,12.0,6.8,7.7,Toma de agua,-34.8297,-55.0421,South America,27.0,678,0.002899999963119626,0.003000000026077032,0.019099999219179153,0.04149999842047691,0.02290000021457672,0.026399999856948853,0.007400000002235174,0.006899999920278788,0.005799999926239252,0.004000000189989805
URY00076,2020-06-02,52.0,158.0,12.0,4.6,7.5,Toma de agua,-34.8297,-55.0421,South America,26.0,678,0.002899999963119626,0.003000000026077032,0.019099999219179153,0.04149999842047691,0.02290000021457672,0.026399999856948853,0.007400000002235174,0.006899999920278788,0.005799999926239252,0.004000000189989805
URY00076,2020-06-03,52.0,157.0,11.0,4.4,7.5,Toma de agua,-34.8297,-55.0421,South America,23.0,678,0.002899999963119626,0.003000000026077032,0.019099999219179153,0.04149999842047691,0.02290000021457672,0.026399999856948853,0.007400000002235174,0.006899999920278788,0.005799999926239252,0.004000000189989805
URY00076,2020-06-04,53.0,158.0,11.0,2.3,7.7,Toma de agua,-34.8297,-55.0421,South America,25.0,678,0.0034000000450760126,0.0035500000230968,0.018400000408291817,0.041850000619888306,0.021700000390410423,0.021900000050663948,0.006649999879300594,0.006200000178068876,0.005249999929219484,0.003650000086054206
URY00076,2020-06-05,53.0,156.0,11.0,2.2,7.6,Toma de agua,-34.8297,-55.0421,South America,21.0,678,0.0034000000450760126,0.0035500000230968,0.018400000408291817,0.041850000619888306,0.021700000390410423,0.021900000050663948,0.006649999879300594,0.006200000178068876,0.005249999929219484,0.003650000086054206
URY00076,2020-06-08,50.0,154.0,13.0,4.7,7.2,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.0031500000040978193,0.0030499999411404133,0.01730000041425228,0.039400000125169754,0.022050000727176666,0.02355000004172325,0.007350000087171793,0.0064500002190470695,0.005350000225007534,0.004350000061094761
URY00076,2020-06-09,50.0,152.0,16.4,3.1,7.5,Toma de agua,-34.8297,-55.0421,South America,30.0,678,0.0031500000040978193,0.0030499999411404133,0.01730000041425228,0.039400000125169754,0.022050000727176666,0.02355000004172325,0.007350000087171793,0.0064500002190470695,0.005350000225007534,0.004350000061094761
URY00076,2020-06-10,50.0,173.0,13.0,3.7,7.7,Toma de agua,-34.8297,-55.0421,South America,23.0,678,0.0031500000040978193,0.0030499999411404133,0.01730000041425228,0.039400000125169754,0.022050000727176666,0.02355000004172325,0.007350000087171793,0.0064500002190470695,0.005350000225007534,0.004350000061094761
URY00076,2020-06-11,51.0,160.0,12.5,2.4,7.6,Toma de agua,-34.8297,-55.0421,South America,24.0,678,0.0031500000040978193,0.0030499999411404133,0.01730000041425228,0.039400000125169754,0.022050000727176666,0.02355000004172325,0.007350000087171793,0.0064500002190470695,0.005350000225007534,0.004350000061094761
