Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude
RUS00002,2021-02-18,,116.0,26.5,2.3,230.0,0.04,8.6,0.02,0.07,6.8,14.9,6.3,0.04,0.0,2.0,0.0029,7.5,Selenga River,52.0563888888889,106.667
RUS00002,2021-04-19,,86.0,20.9,2.0,190.0,0.51,5.8,0.03,0.1,12.4,20.9,4.5,0.04,0.2,121.0,0.0048,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2021-05-19,,70.0,19.6,2.1,120.0,0.32,3.5,0.03,0.03,9.8,14.0,4.7,0.04,11.2,89.0,0.0005,8.0,Selenga River,52.0563888888889,106.667
RUS00002,2021-06-03,,67.0,17.4,1.9,150.0,0.31,4.1,0.01,0.02,10.8,18.1,4.8,0.03,11.2,25.0,0.009,7.6,Selenga River,52.0563888888889,106.667
RUS00002,2021-07-16,,81.0,19.0,2.1,170.0,0.34,4.3,0.03,0.01,9.1,16.2,6.1,0.06,19.4,12.0,0.0083,7.8,Selenga River,52.0563888888889,106.667
RUS00002,2021-09-20,,116.0,28.2,2.6,200.0,0.14,7.2,0.01,0.03,9.1,16.4,5.5,0.03,14.0,12.0,0.0052,7.8,Selenga River,52.0563888888889,106.667
RUS00002,2021-11-18,,134.0,29.6,3.4,210.0,0.13,9.8,0.02,0.12,13.3,26.6,6.9,0.03,0.0,2.0,0.011,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2022-02-17,,128.0,30.6,3.8,240.0,0.04,8.1,0.06,0.17,8.3,21.4,6.6,0.03,0.0,4.0,0.007,7.7,Selenga River,52.0563888888889,106.667
RUS00002,2022-04-20,,104.0,24.9,3.1,170.0,0.29,7.2,0.32,0.19,12.5,20.9,4.4,0.05,0.2,127.0,0.0141,8.0,Selenga River,52.0563888888889,106.667
RUS00002,2022-05-18,,98.0,25.4,3.2,180.0,0.13,5.3,0.03,0.02,10.2,20.7,4.3,0.03,13.3,18.0,0.0112,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2022-06-20,,73.0,18.8,2.1,130.0,0.13,4.4,0.03,0.01,8.4,23.5,5.1,0.02,20.0,26.0,0.015,8.1,Selenga River,52.0563888888889,106.667
RUS00002,2022-07-18,,82.0,23.7,2.4,180.0,0.28,1.5,0.07,0.07,9.0,22.5,5.3,0.03,19.8,82.0,0.0086,7.9,Selenga River,52.0563888888889,106.667
RUS00002,2022-09-20,,93.0,23.3,2.4,170.0,0.56,5.8,0.05,0.01,10.4,17.0,4.7,0.02,10.8,6.0,0.0013,8.2,Selenga River,52.0563888888889,106.667
