TZA00015;2016-01-07;00:00;9.0;TSS;TSS-G;;26.7;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;EC;EC-CND-FLD;;110.0;µS/cm;Fair
TZA00015;2016-01-07;00:00;9.0;pH;pH-POT-insitu;;8.19;---;Fair
TZA00015;2016-01-07;00:00;9.0;H-T;T-COL-EDTA-EBT;;29.0;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;Mg-Tot;0;;1.7;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Mg-Tot;0;;1.94;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;O2-Dis;O2-ISE;;7.95;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;TEMP;0;;27.1;°C;Fair
TZA00015;2016-01-07;00:00;2.5;TDP;COL-AA-SA-PPS;;0.03;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;NH4N;COL-PHE;;0.49;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TDN;COL-AZO-Cd-PS;;0.085;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;Alk-Phen;0;;16.0;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;O2-Dis;O2-ISE;;7.95;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;Fe-Tot;CPL-PHEN;;0.79;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;TDP;COL-AA-SA-PPS;;0.04;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;Fe-Tot;CPL-PHEN;;0.28;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TP;COL-AA-PPS;;0.0705;mg/l;Fair
TZA00015;2016-01-07;00:00;9.0;TEMP;0;;26.4;°C;Fair
TZA00015;2016-01-07;00:00;9.0;O2-Dis;O2-ISE;;6.6;mg/l;Fair
TZA00015;2016-01-07;12:00;;NO2N;MZWQL-WI-7_2_016;;30.0;µg/l;Fair
TZA00015;2016-01-07;12:00;;DRP;MZWQL-WI-7_2_014;;30.0;µg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Ca-Tot;0;;7.0;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Alk-Phen;0;;14.0;mg/l;Fair
TZA00015;2016-01-07;00:00;2.5;Fe-Tot;CPL-PHEN;;0.66;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;TP;COL-AA-PPS;;0.1021;mg/l;Fair
TZA00015;2016-01-07;00:00;10.0;TSS;TSS-G;;93.3;mg/l;Fair
TZA00015;2016-01-07;00:00;0.5;NH4N;COL-PHE;;0.04;mg/l;Fair
