Station,Date,Time,Alk-Tot,Ca-Dis,Cl-Dis,EC,Fe-Dis,Mg-Dis,NH3N,NO3N,O2-Dis,SO4-Dis,SiO2-Rea,TDP,TEMP,TSS,Zn-Dis,pH,Station Identifier,Latitude,Longitude,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
RUS00024,2020-09-04,,62.0,9.8,0.6,1207.0,0.05,5.4,0.02,0.07,9.6,5.4,1.4,0.02,6.0,2.0,0.005,7.6,Baikal Lake - Uzur,53.1667,108.0,0.004100000020116568,0.004999999888241291,0.0210999995470047,0.01510000042617321,0.0071000000461936,0.006399999838322401,0.006000000052154064,0.006000000052154064,0.005499999970197678,0.004999999888241291
RUS00024,2020-09-04,,62.0,9.8,0.6,1207.0,0.05,5.4,0.02,0.07,9.6,5.4,1.4,0.02,6.0,2.0,0.005,7.6,Baikal Lake - Uzur,53.1667,108.0,0.004100000020116568,0.004999999888241291,0.0210999995470047,0.01510000042617321,0.0071000000461936,0.006399999838322401,0.006000000052154064,0.006000000052154064,0.005499999970197678,0.004999999888241291
RUS00024,2020-09-04,,62.0,9.8,0.6,1207.0,0.05,5.4,0.02,0.07,9.6,5.4,1.4,0.02,6.0,2.0,0.005,7.6,Baikal Lake - Uzur,53.1667,108.0,0.004100000020116568,0.004999999888241291,0.0210999995470047,0.01510000042617321,0.0071000000461936,0.006399999838322401,0.006000000052154064,0.006000000052154064,0.005499999970197678,0.004999999888241291
RUS00024,2020-09-04,,62.0,9.8,0.6,1207.0,0.05,5.4,0.02,0.07,9.6,5.4,1.4,0.02,6.0,2.0,0.005,7.6,Baikal Lake - Uzur,53.1667,108.0,0.004100000020116568,0.004999999888241291,0.0210999995470047,0.01510000042617321,0.0071000000461936,0.006399999838322401,0.006000000052154064,0.006000000052154064,0.005499999970197678,0.004999999888241291
RUS00024,2020-10-25,,62.0,11.2,0.6,1230.0,,5.1,0.01,0.03,10.7,5.2,0.5,0.02,5.8,2.0,,7.9,Baikal Lake - Uzur,53.1667,108.0,0.014100000262260437,0.0142000000923872,0.027899999171495438,0.02630000002682209,0.01979999989271164,0.019500000402331352,0.017400000244379044,0.01590000092983246,0.018400000408291817,0.013899999670684338
RUS00024,2021-06-25,,64.0,10.2,0.6,1204.0,0.03,6.2,0.01,0.06,12.0,6.1,0.5,0.02,4.4,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,64.0,10.2,0.6,1204.0,0.03,6.2,0.01,0.06,12.0,6.1,0.5,0.02,4.4,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,64.0,10.2,0.6,1204.0,0.03,6.2,0.01,0.06,12.0,6.1,0.5,0.02,4.4,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,64.0,10.2,0.6,1204.0,0.03,6.2,0.01,0.06,12.0,6.1,0.5,0.02,4.4,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
RUS00024,2021-06-25,,64.0,10.2,0.6,1204.0,0.03,6.2,0.01,0.06,12.0,6.1,0.5,0.02,4.4,2.0,0.002,8.0,Baikal Lake - Uzur,53.1667,108.0,0.024450000375509262,0.023150000721216202,0.03779999911785126,0.03310000151395798,0.02759999968111515,0.02800000086426735,0.026850000023841858,0.02800000086426735,0.022700000554323196,0.027650000527501106
