Chl-a,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.84024075313035,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
1.38491826477381,0.0037000000011175,0.002199999988079,0.0215499997138977,0.0212500002235174,0.0114500001072883,0.0109000001102685,0.0089999996125698,0.0074499999172985,0.0096500003710389,0.0065999999642372
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
2.35341330242867,0.0077999997884035,0.0054000001400709,0.0295000001788139,0.0209999997168779,0.0093000000342726,0.0164000000804662,0.0121499998494982,0.0113000003620982,0.0075500002130866,0.0082499999552965
