IND00124;2020-02-06;00:00;0.3;TOTCOLI;0;;32.0;1/100 ml;Unknown
IND00124;2020-02-06;00:00;0.3;EC;0;;190.0;µS/cm;Unknown
IND00124;2020-07-02;00:00;0.3;TOTCOLI;0;;27.0;1/100 ml;Unknown
IND00124;2020-07-02;00:00;0.3;pH;0;;8.0;---;Unknown
IND00124;2019-07-26;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2018-11-27;00:00;0.3;O2-Dis;0;;6.9;mg/l;Unknown
IND00124;2021-03-02;00:00;0.3;O2-Dis;0;;9.3;mg/l;Unknown
IND00124;2020-09-01;00:00;0.3;NO3N;0;;0.34;mg/l;Unknown
IND00124;2020-09-01;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2020-09-01;00:00;0.3;EC;0;;198.0;µS/cm;Unknown
IND00124;2020-09-01;00:00;0.3;O2-Dis;0;;8.9;mg/l;Unknown
IND00124;2020-09-01;00:00;0.3;B-Dis;0;;0.01;mg/l;Unknown
IND00124;2019-02-12;00:00;0.3;O2-Dis;0;;7.9;mg/l;Unknown
IND00124;2018-01-31;00:00;0.3;O2-Dis;0;;8.4;mg/l;Unknown
IND00124;2021-02-05;00:00;0.3;O2-Dis;0;;8.9;mg/l;Unknown
IND00124;2019-01-02;00:00;0.3;pH;0;;7.5;---;Unknown
IND00124;2020-01-09;00:00;0.3;NO3N;0;;0.57;mg/l;Unknown
IND00124;2020-11-05;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2018-03-13;00:00;0.3;O2-Dis;0;;7.1;mg/l;Unknown
IND00124;2018-10-08;00:00;0.3;FECALCOLI;0;;4.0;1/100 ml;Unknown
IND00124;2019-04-29;00:00;0.3;pH;0;;7.4;---;Unknown
IND00124;2019-04-29;00:00;0.3;FECALCOLI;0;;40.0;1/100 ml;Unknown
IND00124;2019-04-29;00:00;0.3;O2-Dis;0;;9.0;mg/l;Unknown
IND00124;2020-04-23;00:00;0.3;BOD;0;;0.1;mg/l;Unknown
IND00124;2020-04-23;00:00;0.3;Cd-Dis;0;;0.0;µg/l;Unknown
IND00124;2020-04-23;00:00;0.3;NO3N;0;;0.78;mg/l;Unknown
IND00124;2020-04-23;00:00;0.3;pH;0;;7.8;---;Unknown
IND00124;2020-04-23;00:00;0.3;TURB;0;;0.0;NTU;Unknown
IND00124;2020-02-06;00:00;0.3;BOD;0;;0.2;mg/l;Unknown
IND00124;2020-10-01;00:00;0.3;EC;0;;319.0;µS/cm;Unknown
IND00124;2020-10-01;00:00;0.3;TOTCOLI;0;;27.0;1/100 ml;Unknown
IND00124;2018-07-02;00:00;0.3;FECALCOLI;0;;6.0;1/100 ml;Unknown
IND00124;2020-06-03;00:00;0.3;F-Dis;0;;0.07;mg/l;Unknown
IND00124;2020-06-03;00:00;0.3;TURB;0;;1.0;NTU;Unknown
IND00124;2021-01-05;00:00;0.3;pH;0;;7.9;---;Unknown
IND00124;2020-03-05;00:00;0.3;F-Dis;0;;0.14;mg/l;Unknown
IND00124;2020-03-05;00:00;0.3;B-Dis;0;;0.09;mg/l;Unknown
IND00124;2020-07-02;00:00;0.3;BOD;0;;0.2;mg/l;Unknown
IND00124;2018-12-18;00:00;0.3;pH;0;;7.9;---;Unknown
IND00124;2018-12-18;00:00;0.3;FECALCOLI;0;;2.0;1/100 ml;Unknown
IND00124;2020-08-05;00:00;0.3;TURB;0;;117.0;NTU;Unknown
IND00124;2020-08-05;00:00;0.3;B-Dis;0;;0.02;mg/l;Unknown
